City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,setif,36.1911,5.4137,11.45,47,0,1.54,DZ,1697090108
1,zouerate,22.7187,-12.4521,24.92,16,30,3.63,MR,1697090108
2,port mathurin,-19.6833,63.4167,23.76,76,46,5.12,MU,1697090108
3,baijiantan,45.6333,85.1833,24.0,25,2,3.81,CN,1697090109
4,ust-nera,64.5667,143.2,-7.1,92,100,1.34,RU,1697090109
5,port-aux-francais,-49.35,70.2167,2.03,100,100,6.15,TF,1697090109
6,ushuaia,-54.8,-68.3,5.81,75,0,10.29,AR,1697090026
7,wailua homesteads,22.0669,-159.378,25.44,79,40,7.2,US,1697090109
8,iskateley,67.6803,53.1512,1.12,76,10,4.02,RU,1697090110
9,puerto ayora,-0.7393,-90.3518,24.19,93,100,2.68,EC,1697090110
10,akureyri,65.6835,-18.0878,-0.04,86,100,4.63,IS,1697090110
11,taroudant,30.4703,-8.877,25.14,22,0,4.55,MA,1697090110
12,qaqortoq,60.7167,-46.0333,2.04,91,46,3.87,GL,1697090110
13,talnakh,69.4865,88.3972,0.67,93,98,1.24,RU,1697090111
14,kodiak,57.79,-152.4072,1.73,55,0,3.6,US,1697090111
15,arinos,-15.9169,-46.1056,25.04,49,9,1.01,BR,1697090111
16,yellowknife,62.456,-114.3525,8.56,100,100,2.57,CA,1697089929
17,nkowakowa,-23.8878,30.2871,29.19,28,20,1.48,ZA,1697090111
18,bredasdorp,-34.5322,20.0403,16.17,83,80,4.76,ZA,1697090112
19,port moresby,-9.4431,147.1797,27.68,89,40,5.14,PG,1697089924
20,edinburgh of the seven seas,-37.0676,-12.3116,13.58,74,53,9.57,SH,1697090112
21,bethel,41.3712,-73.414,12.1,86,0,0.0,US,1697090112
22,parkes,-33.1333,148.1833,21.86,46,38,2.68,AU,1697090112
23,nabire,-3.3667,135.4833,29.58,68,100,2.55,ID,1697089921
24,puerto baquerizo moreno,-0.9,-89.6,23.9,81,95,6.17,EC,1697090113
25,mirny,62.5353,113.9611,7.94,92,100,4.6,RU,1697090113
26,salekhard,66.53,66.6019,1.84,78,96,2.07,RU,1697090113
27,bangassou,4.7413,22.8184,21.81,97,100,0.37,CF,1697090113
28,salinopolis,-0.6136,-47.3561,26.47,81,2,3.72,BR,1697090113
29,kavieng,-2.5744,150.7967,29.02,72,81,2.62,PG,1697090114
30,douz,33.4663,9.0203,19.07,77,0,3.25,TN,1697090114
31,waitangi,-43.9535,-176.5597,10.46,77,27,5.36,NZ,1697090029
32,albany,42.6001,-73.9662,11.36,83,95,1.06,US,1697090114
33,tiksi,71.6872,128.8694,-4.81,77,100,6.0,RU,1697090114
34,puerto natales,-51.7236,-72.4875,3.04,95,84,3.76,CL,1697090115
35,tandil,-37.3217,-59.1332,-1.29,83,0,2.22,AR,1697090115
36,longyearbyen,78.2186,15.6401,-3.09,59,75,5.14,SJ,1697090115
37,suntar,62.1444,117.6319,7.3,72,100,3.13,RU,1697090115
38,mount gambier,-37.8333,140.7667,14.45,58,12,6.23,AU,1697089877
39,blackmans bay,-43.0167,147.3167,18.07,76,98,2.77,AU,1697090115
40,sungailiat,-1.85,106.1333,30.88,59,54,5.68,ID,1697090116
41,gamba,-2.65,10.0,24.74,91,100,1.63,GA,1697090116
42,daru,-9.0763,143.2092,25.29,94,100,6.07,PG,1697090116
43,can-avid,11.9953,125.4472,29.41,71,90,3.57,PH,1697090116
44,constantia,44.1833,28.65,12.61,63,6,4.59,RO,1697090029
45,porto novo,6.4965,2.6036,24.86,89,93,1.24,BJ,1697089882
46,holualoa,19.6228,-155.9522,24.91,84,75,3.09,US,1697090117
47,adamstown,-25.066,-130.1015,20.41,75,5,5.57,PN,1697090117
48,ribeira grande,38.5167,-28.7,19.87,88,33,2.68,PT,1697090117
49,georgetown,5.4112,100.3354,31.96,79,40,5.14,MY,1697090117
50,anadyr,64.75,177.4833,0.28,100,100,18.0,RU,1697090118
51,batu pahat,1.8548,102.9325,31.45,60,61,3.61,MY,1697090118
52,stanley,54.868,-1.6985,3.2,100,0,1.54,GB,1697089855
53,itoman,26.1247,127.6694,29.43,54,40,8.23,JP,1697090118
54,banda aceh,5.5577,95.3222,28.48,74,100,2.77,ID,1697089825
55,bilibino,68.0546,166.4372,-6.69,87,100,2.46,RU,1697090119
56,rikaze,29.25,88.8833,9.7,41,98,2.13,CN,1697090119
57,mandera,3.9366,41.867,28.96,54,78,4.37,KE,1697090119
58,cabo san lucas,22.8909,-109.9124,27.09,81,0,4.92,MX,1697089712
59,eufaula,31.8913,-85.1455,16.02,92,100,3.09,US,1697090119
60,nyurba,63.2842,118.3319,5.62,54,100,5.36,RU,1697090119
61,juan griego,11.0817,-63.9655,28.07,94,6,5.66,VE,1697090072
62,liuduzhai,27.3661,110.935,22.34,57,89,2.07,CN,1697090120
63,isafjordur,66.0755,-23.124,1.73,91,100,18.39,IS,1697090120
64,qamdo,31.1667,97.2333,2.98,67,98,2.68,CN,1697090120
65,vorgashor,67.5833,63.95,0.53,77,96,2.12,RU,1697090120
66,tolanaro,-25.0319,46.9987,22.04,94,100,4.63,MG,1697090121
67,tazovsky,67.4667,78.7,1.74,97,100,3.28,RU,1697090121
68,queenstown,-31.8976,26.8753,17.26,58,100,5.38,ZA,1697090121
69,nemuro,43.3236,145.575,14.98,64,0,4.63,JP,1697090037
70,santa marta,11.2408,-74.199,29.38,75,72,1.79,CO,1697089981
71,hlybokaye,55.1382,27.6879,12.83,90,100,6.67,BY,1697090121
72,peruibe,-24.32,-46.9983,20.06,95,69,3.07,BR,1697090122
73,aras-asan,8.8908,126.3033,29.32,74,60,2.9,PH,1697090122
74,ende,-8.8432,121.6623,30.72,59,78,2.33,ID,1697090122
75,salalah,17.0151,54.0924,29.05,61,0,1.54,OM,1697090122
76,presidente medici,-11.1753,-61.9014,24.63,78,82,0.57,BR,1697090122
77,o barco de valdeorras,42.4164,-6.9901,19.61,45,28,1.18,ES,1697090123
78,sola,-13.8833,167.55,25.47,82,100,10.23,VU,1697090108
79,port lincoln,-34.7333,135.8667,16.21,59,8,7.43,AU,1697090038
80,nar'yan-mar,67.6713,53.087,1.17,76,10,4.02,RU,1697090123
81,mount isa,-20.7333,139.5,34.87,17,91,3.6,AU,1697090123
82,huarmey,-10.0681,-78.1522,18.93,87,92,4.76,PE,1697090123
83,grytviken,-54.2811,-36.5092,-4.5,66,16,0.58,GS,1697090124
84,piti village,13.4626,144.6933,29.49,80,40,5.66,GU,1697090124
85,wuyang,31.9925,116.2472,23.76,47,47,2.8,CN,1697090124
86,khandyga,62.6667,135.6,0.26,95,100,1.83,RU,1697090124
87,iqaluit,63.7506,-68.5145,-1.15,86,20,3.6,CA,1697090124
88,luderitz,-26.6481,15.1594,15.03,69,51,3.99,NA,1697090124
89,hasaki,35.7333,140.8333,22.22,57,46,4.84,JP,1697090125
90,sitka,57.0531,-135.33,7.94,76,20,3.09,US,1697090125
91,thompson,55.7435,-97.8558,7.09,70,75,2.06,CA,1697090021
92,ishigaki,24.3448,124.1572,29.07,65,40,6.17,JP,1697090125
93,enewetak,11.3474,162.3373,28.81,73,38,6.19,MH,1697090079
94,swabi,34.1199,72.4699,29.79,24,0,1.52,PK,1697090126
95,whitehorse,60.7161,-135.0538,2.67,80,0,3.09,CA,1697090123
96,udachny,66.4167,112.4,1.92,74,98,4.87,RU,1697090126
97,hermanus,-34.4187,19.2345,15.25,87,97,4.05,ZA,1697090126
98,saipan,15.1355,145.701,29.39,89,100,7.2,MP,1697090126
99,sorong,-0.8833,131.25,29.17,72,95,3.04,ID,1697090127
100,college,64.8569,-147.8028,-4.01,86,75,1.54,US,1697090022
101,avarua,-21.2078,-159.775,23.03,78,40,4.12,CK,1697090127
102,papatowai,-46.5619,169.4708,11.76,75,66,6.46,NZ,1697090027
103,tambau,-21.705,-47.2744,23.44,63,61,1.12,BR,1697090127
104,afaahiti,-17.75,-149.2833,25.93,82,23,6.77,PF,1697090127
105,palikir - national government center,6.9248,158.1611,26.47,94,100,1.54,FM,1697090128
106,nagqu,31.5,92.0,4.45,22,100,5.9,CN,1697090128
107,geraldton,-28.7667,114.6,31.23,20,47,9.77,AU,1697090128
108,bel ombre,-4.6167,55.4167,28.91,79,20,4.12,SC,1697090128
109,kavaratti,10.5669,72.642,28.07,72,100,1.94,IN,1697090128
110,perry,37.2506,-83.1999,14.4,81,100,1.33,US,1697089851
111,vernon,50.2581,-119.2691,9.86,79,100,1.03,CA,1697090129
112,lodja,-3.4833,23.4333,24.69,76,99,0.97,CD,1697090129
113,hadibu,12.65,54.0333,27.85,77,55,2.27,YE,1697090129
114,arkalyk,50.2486,66.9114,7.93,46,60,4.6,KZ,1697090129
115,svyetlahorsk,52.6329,29.7389,13.79,75,100,8.25,BY,1697090129
116,keflavik,64.0049,-22.5624,3.24,93,100,10.8,IS,1697090130
117,mahibadhoo,3.7833,72.9667,27.71,73,95,3.62,MV,1697090130
118,st. john's,47.5649,-52.7093,12.76,98,100,2.06,CA,1697089885
119,ararangua,-28.9347,-49.4858,16.19,96,100,4.62,BR,1697090130
120,codrington,-38.2667,141.9667,13.85,61,60,9.59,AU,1697090073
121,fukuecho,32.6881,128.8419,23.2,49,20,7.2,JP,1697090130
122,kittila,67.6647,24.8936,-0.92,86,100,8.23,FI,1697090131
123,pusad,19.9,77.5833,31.97,42,14,2.08,IN,1697090131
124,kapuskasing,49.4169,-82.4331,4.0,93,75,3.6,CA,1697090131
125,kruisfontein,-34.0033,24.7314,17.2,83,86,2.89,ZA,1697090057
126,badger,64.8,-147.5333,-4.05,89,75,1.54,US,1697090131
127,bang saphan,11.2126,99.5117,29.59,69,95,4.13,TH,1697090132
128,dolinsk,47.35,142.8,13.18,53,34,4.17,RU,1697090132
129,lerwick,60.1545,-1.1494,8.0,63,72,8.0,GB,1697090132
130,viedma,-40.8135,-62.9967,4.85,67,0,4.56,AR,1697090044
131,flying fish cove,-10.4217,105.6791,28.82,74,40,6.17,CX,1697090132
132,lisala,2.15,21.5167,21.94,92,100,0.45,CD,1697090133
133,coalinga,36.1397,-120.3602,15.14,45,0,2.71,US,1697090133
134,ad dabbah,18.05,30.95,31.56,19,45,7.23,SD,1697090133
135,belyy yar,53.6039,91.3903,18.94,45,0,2.0,RU,1697090133
136,hithadhoo,-0.6,73.0833,27.5,69,10,6.29,MV,1697090087
137,lihue,21.9789,-159.3672,25.77,78,40,7.2,US,1697090134
138,santa terezinha,-29.9002,-50.0904,16.51,95,100,7.02,BR,1697090134
139,jwaneng,-24.6004,24.7303,20.78,53,100,4.04,BW,1697090134
140,kenai,60.5544,-151.2583,3.41,74,100,2.06,US,1697090097
141,zakamensk,50.3741,103.2863,14.65,38,4,1.31,RU,1697090135
142,magadan,59.5667,150.8,-0.26,74,55,4.02,RU,1697090135
143,krasnyy chikoy,50.3643,108.7512,14.02,45,0,1.79,RU,1697090135
144,international falls,48.6011,-93.411,7.24,79,0,2.06,US,1697089996
145,kidal,18.4411,1.4078,27.08,16,9,4.29,ML,1697090136
146,tynda,55.1667,124.7167,13.78,50,59,3.19,RU,1697090136
147,drayton valley,53.2168,-114.9854,7.89,89,100,4.38,CA,1697090136
148,utrik,11.2278,169.8474,28.23,78,94,5.01,MH,1697090136
149,tidjikja,18.5564,-11.4271,28.62,41,82,4.09,MR,1697090136
150,piacabucu,-10.4056,-36.4344,22.99,86,76,2.82,BR,1697090137
151,tura,25.5198,90.2201,28.51,67,3,1.89,IN,1697090137
152,san agustin de valle fertil,-30.6335,-67.4682,8.07,53,3,1.58,AR,1697090137
153,mount pearl,47.5166,-52.7813,12.3,97,100,2.06,CA,1697090137
154,chernyshevskiy,63.0128,112.4714,1.76,97,100,3.14,RU,1697090116
155,hawaiian paradise park,19.5933,-154.9731,23.91,92,100,2.06,US,1697090137
156,conduaga,8.862,117.4893,29.44,73,100,2.71,PH,1697090138
157,kalemie,-5.9475,29.1947,25.42,65,78,2.66,CD,1697090138
158,huanren,41.2647,125.3667,19.55,37,32,1.02,CN,1697090138
159,tomesti,47.1167,27.6833,12.67,77,0,3.6,RO,1697090138
160,callao,-12.0667,-77.15,18.73,82,100,2.06,PE,1697090138
161,remire-montjoly,4.9167,-52.2667,25.02,88,0,1.03,GF,1697090139
162,roswell,34.0232,-84.3616,15.88,95,100,4.63,US,1697090139
163,kingsville,27.5159,-97.8561,22.17,94,20,2.06,US,1697089908
164,bandon,51.7469,-8.7425,9.77,91,100,0.96,IE,1697090139
165,malmberget,67.1753,20.6549,-2.69,100,100,5.66,SE,1697090140
166,port douglas,-16.4833,145.4667,24.74,67,67,6.81,AU,1697090140
167,muriti,-1.9833,32.9167,24.2,61,95,4.03,TZ,1697090140
168,punta arenas,-53.15,-70.9167,6.06,81,75,10.29,CL,1697090109
169,bokkos,9.3,9.0,19.31,77,95,1.7,NG,1697090140
170,machico,32.7,-16.7667,29.35,21,20,7.2,PT,1697090140
171,changling,44.2653,124.0005,21.69,26,0,2.82,CN,1697090141
172,fort bragg,35.139,-79.006,17.17,92,20,2.06,US,1697090141
173,illizi,26.4833,8.4667,19.89,29,49,6.16,DZ,1697090141
174,turzovka,49.4043,18.6226,13.41,100,100,0.51,SK,1697090141
175,fale old settlement,-9.3852,-171.2468,28.73,78,15,7.18,TK,1697090083
176,sisimiut,66.9395,-53.6735,-2.2,74,84,4.16,GL,1697090142
177,invercargill,-46.4,168.35,12.79,83,91,5.36,NZ,1697090142
178,antsohihy,-14.8796,47.9875,32.08,41,32,2.04,MG,1697090142
179,tabou,4.423,-7.3528,24.74,91,100,1.97,CI,1697090142
180,labrador city,52.9463,-66.9114,6.95,100,100,1.54,CA,1697090142
181,thunder bay,48.4001,-89.3168,6.99,93,100,0.51,CA,1697090012
182,lucapa,-8.4192,20.7447,22.97,73,84,0.76,AO,1697090143
183,aral,40.5156,81.2636,23.75,18,0,2.05,CN,1697090143
184,yutz,49.3587,6.1892,16.64,83,100,3.02,FR,1697090143
185,mancio lima,-7.6142,-72.8958,26.04,89,0,0.51,BR,1697090143
186,dudinka,69.4058,86.1778,1.49,93,97,6.71,RU,1697090080
187,dean funes,-30.4204,-64.3498,6.59,43,2,5.09,AR,1697090143
188,coos bay,43.3665,-124.2179,13.85,94,100,2.57,US,1697090052
189,sinabang,2.4803,96.3801,27.15,81,100,2.08,ID,1697090144
190,balkanabat,39.5108,54.3671,14.86,49,100,6.9,TM,1697090144
191,west island,-12.1568,96.8225,27.99,74,75,7.2,CC,1697090144
192,port blair,11.6667,92.75,30.02,79,40,2.57,IN,1697090144
193,peace river,56.2501,-117.286,8.17,100,40,0.0,CA,1697089874
194,belmonte,-15.8631,-38.8828,22.15,84,34,1.36,BR,1697090145
195,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,100,7.0,RU,1697090145
196,berezovo,63.9381,65.0419,-0.02,84,98,0.89,RU,1697090145
197,komsomol'skiy,43.9783,46.6985,8.1,49,0,2.25,RU,1697090145
198,rawson,-43.3002,-65.1023,10.15,40,2,5.68,AR,1697089848
199,margaret river,-33.95,115.0667,20.36,47,0,4.25,AU,1697090042
200,saint-pierre,-21.3393,55.4781,26.98,69,81,4.63,RE,1697090132
201,lukolela,-1.0605,17.1821,23.89,83,38,0.38,CD,1697090146
202,jamestown,42.097,-79.2353,9.77,100,0,1.54,US,1697090146
203,northam,51.0333,-4.2167,16.25,99,100,0.63,GB,1697090146
204,tarauaca,-8.1614,-70.7656,25.04,71,62,1.12,BR,1697090146
205,port alfred,-33.5906,26.891,18.99,95,100,0.89,ZA,1697090147
206,urengoy,65.9667,78.3667,3.95,92,100,9.39,RU,1697090147
207,kenora,49.8167,-94.4337,6.54,93,40,2.06,CA,1697090147
208,aksaray,38.3726,34.0254,11.28,62,1,3.11,TR,1697090147
209,zaragoza,41.6561,-0.8773,16.12,53,0,2.06,ES,1697090147
210,olonkinbyen,70.9221,-8.7187,1.58,70,100,11.01,SJ,1697090147
211,ilulissat,69.2167,-51.1,-2.99,68,100,2.06,GL,1697090029
212,chonchi,-42.6128,-73.8092,6.73,74,92,2.9,CL,1697090066
213,fuding,27.3273,120.214,25.78,51,64,2.16,CN,1697090148
214,port saint john's,-31.6229,29.5448,21.25,83,100,0.91,ZA,1697090148
215,vorkuta,67.5,64.0,0.42,80,88,2.24,RU,1697090148
216,gadzhiyevo,69.2551,33.3362,2.27,97,99,13.33,RU,1697090148
217,hamar,60.7945,11.068,5.04,70,16,3.54,NO,1697090149
218,port elizabeth,-33.918,25.5701,18.51,97,40,1.03,ZA,1697090149
219,horta,38.5333,-28.6333,19.45,88,45,2.68,PT,1697090149
220,mulgund,15.25,75.5333,28.8,50,100,4.63,IN,1697090149
221,al kharijah,25.4514,30.5464,24.57,41,0,5.92,EG,1697090150
222,floro,61.5996,5.0328,7.98,81,40,13.89,NO,1697090150
223,nizhneangarsk,55.7833,109.55,6.67,81,43,0.45,RU,1697090150
224,nishinoomote,30.7333,131.0,23.31,68,40,4.63,JP,1697090150
225,tofol,5.3248,163.0078,29.02,70,98,2.27,FM,1697090150
226,howard springs,-12.497,131.047,33.79,32,47,4.27,AU,1697090151
227,moose jaw,50.4001,-105.5344,6.14,87,29,6.69,CA,1697090151
228,dos palos,36.9861,-120.6266,16.26,49,0,3.92,US,1697090151
229,salinas,36.6777,-121.6555,15.34,81,0,4.12,US,1697090133
230,santa vitoria do palmar,-33.5189,-53.3681,7.68,67,73,4.86,BR,1697090151
231,sumbawa besar,-8.5,117.4333,34.32,39,48,4.08,ID,1697090152
232,ad dilam,23.9915,47.1627,31.23,10,0,2.26,SA,1697090152
233,vadso,70.0744,29.7487,2.49,87,75,10.8,NO,1697090152
234,greymouth,-42.4667,171.2,11.81,90,49,2.62,NZ,1697090088
235,la sarre,48.8002,-79.1996,4.44,95,100,2.73,CA,1697089953
236,revda,56.801,59.9303,2.62,84,100,4.96,RU,1697090152
237,joal-fadiout,14.1667,-16.8333,27.94,80,97,2.49,SN,1697090153
238,new haven,41.4001,-72.9329,11.63,89,0,0.0,US,1697090033
239,puerto ayacucho,5.6639,-67.6236,24.09,91,46,1.44,VE,1697090153
240,kempsey,-31.0833,152.8333,24.97,62,1,1.34,AU,1697090153
241,sovetskaya gavan',48.9723,140.2878,16.17,41,36,2.04,RU,1697090153
242,ancud,-41.8697,-73.8203,4.72,86,22,2.68,CL,1697090154
243,aasiaat,68.7098,-52.8699,-8.49,94,100,5.19,GL,1697090154
244,arawa,-6.2132,155.5367,28.91,79,51,0.78,PG,1697090154
